module	class	vm	rc	state	wall_s	tests	fail	note
server-spi	org.keycloak.models.OtpPolicyTest	cratonvm	0	PASS	2.3	2	0	
server-spi	org.keycloak.models.OtpPolicyTest	hotspot	0	PASS	0.5	2	0	-
server-spi	org.keycloak.models.credential.CredentialModelTest	cratonvm	0	PASS	4.9	5	0	
server-spi	org.keycloak.models.credential.CredentialModelTest	hotspot	0	PASS	1.1	5	0	-
server-spi	org.keycloak.models.credential.RecoveryCodesUnitTest	cratonvm	0	PASS	2.3	1	0	
server-spi	org.keycloak.models.credential.RecoveryCodesUnitTest	hotspot	0	PASS	0.5	1	0	-
server-spi	org.keycloak.provider.ProviderConfigurationBuilderTest	cratonvm	0	PASS	2.2	2	0	
server-spi	org.keycloak.provider.ProviderConfigurationBuilderTest	hotspot	0	PASS	0.5	2	0	-
server-spi	org.keycloak.storage.StorageIdTest	cratonvm	0	PASS	2.3	5	0	
server-spi	org.keycloak.storage.StorageIdTest	hotspot	0	PASS	0.4	5	0	-
server-spi	org.keycloak.utils.MapperTypeSerializerTest	cratonvm	0	PASS	3.1	2	0	
server-spi	org.keycloak.utils.MapperTypeSerializerTest	hotspot	0	PASS	0.9	2	0	-
server-spi	org.keycloak.utils.StringUtilTest	cratonvm	0	PASS	2.2	1	0	
server-spi	org.keycloak.utils.StringUtilTest	hotspot	0	PASS	0.4	1	0	-
server-spi-private	org.keycloak.broker.provider.util.IdentityBrokerStateTest	cratonvm	0	PASS	3.4	6	0	
server-spi-private	org.keycloak.broker.provider.util.IdentityBrokerStateTest	hotspot	0	PASS	1.0	6	0	-
server-spi-private	org.keycloak.component.ComponentModelScopeTest	cratonvm	0	PASS	2.5	1	0	
server-spi-private	org.keycloak.component.ComponentModelScopeTest	hotspot	0	PASS	0.5	1	0	-
server-spi-private	org.keycloak.connections.httpclient.RetryConfigTest	cratonvm	0	PASS	2.7	14	0	
server-spi-private	org.keycloak.connections.httpclient.RetryConfigTest	hotspot	0	PASS	0.5	14	0	-
server-spi-private	org.keycloak.connections.jpa.support.EntityManagerProxyTest	cratonvm	0	PASS	2.5	1	0	
server-spi-private	org.keycloak.connections.jpa.support.EntityManagerProxyTest	hotspot	0	PASS	0.6	1	0	-
server-spi-private	org.keycloak.http.simple.SimpleHttpTest	cratonvm	1	FAIL	2.4	1	1	1) initializationError(org.keycloak.http.simple.SimpleHttpTest)
server-spi-private	org.keycloak.http.simple.SimpleHttpTest	hotspot	1	FAIL	0.5	1	1	-
