# class	method	descriptor	kind	registered_by	bucket
java/lang/StringBuilder	append	(Ljava/lang/CharSequence;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:468	method-nowhere
java/lang/StringBuilder	append	(Ljava/lang/CharSequence;II)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:444	method-nowhere
java/lang/StringBuilder	append	(Ljava/lang/Object;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:422	method-nowhere
java/lang/StringBuilder	append	(Ljava/lang/String;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:179	method-nowhere
java/lang/StringBuilder	append	(Ljava/lang/StringBuffer;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:197	method-nowhere
java/lang/StringBuilder	append	(Z)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:350	method-nowhere
java/lang/StringBuilder	append	([C)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:332	method-nowhere
java/lang/StringBuilder	append	([CII)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:314	method-nowhere
java/lang/StringBuilder	appendCodePoint	(I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:269	method-nowhere
java/lang/StringBuilder	appendCodePoint	(I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:514	method-nowhere
java/lang/StringBuilder	delete	(II)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:632	method-nowhere
java/lang/StringBuilder	deleteCharAt	(I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:644	method-nowhere
java/lang/StringBuilder	insert	(IC)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:560	method-nowhere
java/lang/StringBuilder	insert	(II)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:572	method-nowhere
java/lang/StringBuilder	insert	(ILjava/lang/Object;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:584	method-nowhere
java/lang/StringBuilder	insert	(ILjava/lang/String;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:548	method-nowhere
java/lang/StringBuilder	insert	(I[C)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:614	method-nowhere
java/lang/StringBuilder	insert	(I[CII)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:596	method-nowhere
java/lang/StringBuilder	repeat	(II)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:290	method-nowhere
java/lang/StringBuilder	repeat	(Ljava/lang/CharSequence;I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:752	method-nowhere
java/lang/StringBuilder	repeat	(Ljava/lang/String;I)Ljava/lang/AbstractStringBuilder;	bridge	native-builtins/src/lang_string.rs:770	method-nowhere
java/lang/StringBuilder	repeat	(Ljava/lang/String;I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:764	method-nowhere
java/lang/StringBuilder	repeat	(Ljava/lang/String;I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:728	method-nowhere
java/lang/StringBuilder	replace	(IILjava/lang/String;)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:656	method-nowhere
java/lang/StringBuilder	reverse	()Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:534	method-nowhere
java/lang/System	runFinalizersOnExit	(Z)V	bridge	native-builtins/src/deprecated_lang.rs:407	method-nowhere
java/lang/System$1	blockedOn	(Ljava/lang/Thread;Lsun/nio/ch/Interruptible;)V	bridge	native-builtins/src/shared_secrets_bridge.rs:1270	method-nowhere
java/lang/System$1	currentThread0	()Ljava/lang/Thread;	bridge	native-builtins/src/lib.rs:30605	method-nowhere
java/lang/System$1	currentThread0	()Ljava/lang/Thread;	bridge	native-builtins/src/shared_secrets_bridge.rs:1210	method-nowhere
java/lang/System$1	findNative	(Ljava/lang/ClassLoader;Ljava/lang/String;)J	bridge	native-builtins/src/shared_secrets_bridge.rs:1439	method-nowhere
java/lang/System$1	getBytesNoRepl	(Ljava/lang/String;Ljava/nio/charset/Charset;)[B	bridge	native-builtins/src/shared_secrets_bridge.rs:1361	method-nowhere
java/lang/System$1	getBytesUtf8NoRepl	(Ljava/lang/String;)[B	bridge	native-builtins/src/shared_secrets_bridge.rs:1332	method-nowhere
java/lang/System$1	getDeclaredPublicMethods	(Ljava/lang/Class;)[Ljava/lang/reflect/Method;	bridge	native-builtins/src/shared_secrets_bridge.rs:1380	method-nowhere
java/lang/System$1	getEnumConstantsShared	(Ljava/lang/Class;)[Ljava/lang/Object;	bridge	native-builtins/src/shared_secrets_bridge.rs:1312	method-nowhere
java/lang/System$1	getMethodsOrNull	(Ljava/lang/Class;)[Ljava/lang/reflect/Method;	bridge	native-builtins/src/shared_secrets_bridge.rs:1386	method-nowhere
java/lang/System$1	getReflectionFactory	()Ljdk/internal/reflect/ReflectionFactory;	bridge	native-builtins/src/shared_secrets_bridge.rs:1264	method-nowhere
java/lang/System$1	isCarrierThreadLocalPresent	(Ljdk/internal/misc/CarrierThreadLocal;)Z	bridge	native-builtins/src/shared_secrets_bridge.rs:1300	method-nowhere
java/lang/System$1	newStackTraceElement	(Ljava/lang/StackWalker$StackFrame;)Ljava/lang/StackTraceElement;	bridge	native-builtins/src/shared_secrets_bridge.rs:1368	method-nowhere
java/lang/System$1	newStringUtf8NoRepl	([BII)Ljava/lang/String;	bridge	native-builtins/src/shared_secrets_bridge.rs:1326	method-nowhere
java/lang/Thread	destroy	()V	bridge	native-builtins/src/deprecated_lang.rs:382	method-nowhere
java/lang/Thread	resume0	()V	bridge	native-builtins/src/deprecated_lang.rs:379	method-nowhere
java/lang/Thread	stop0	(Ljava/lang/Object;)V	bridge	native-builtins/src/lib.rs:13659	method-nowhere
java/lang/Thread	stop0	(Ljava/lang/Object;)V	bridge	native-builtins/src/deprecated_lang.rs:369	method-nowhere
java/lang/Thread	suspend0	()V	bridge	native-builtins/src/deprecated_lang.rs:378	method-nowhere
java/lang/Throwable	getStackTraceDepth	()I	bridge	native-builtins/src/lib.rs:15375	method-nowhere
java/lang/Throwable	getStackTraceElement	(I)Ljava/lang/StackTraceElement;	bridge	native-builtins/src/lib.rs:15381	method-nowhere
java/lang/foreign/MemorySegment	NULL	Ljava/lang/foreign/MemorySegment;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2060	method-nowhere
java/lang/foreign/MemorySegment	allocateFrom	(Ljava/lang/foreign/Arena;Ljava/lang/foreign/ValueLayout;I)Ljava/lang/foreign/MemorySegment;	bridge	native-builtins/src/panama.rs:948	method-nowhere
java/lang/foreign/MemorySegment	allocateFrom	(Ljava/lang/foreign/Arena;Ljava/lang/foreign/ValueLayout;J)Ljava/lang/foreign/MemorySegment;	bridge	native-builtins/src/panama.rs:974	method-nowhere
java/lang/foreign/MemorySegment	get	(Ljava/lang/foreign/ValueLayout;J)Ljava/lang/Object;	bridge	native-builtins/src/panama.rs:746	method-nowhere
java/lang/foreign/MemorySegment	getAtIndex	(Ljava/lang/foreign/ValueLayout;J)Ljava/lang/Object;	bridge	native-builtins/src/panama.rs:776	method-nowhere
java/lang/foreign/MemorySegment	set	(Ljava/lang/foreign/ValueLayout;JLjava/lang/Object;)V	bridge	native-builtins/src/panama.rs:754	method-nowhere
